DATUM,HEMMA,BORTA,HS,-,VS,DEC,PERIOD,ARENA,ATT
2017-03-09,HV71,Färjestad,3,-,2,Reg,"1-1, 2-1, 0-0",Kinnarps Arena,6951
2017-03-09,Växjö,Malmö,4,-,5,Reg,"1-2, 2-2, 1-1",Vida Arena,4582
2017-03-09,Karlskrona,Örebro,4,-,0,Reg,"0-0, 3-0, 1-0",ABB Arena Karlskrona,4689
2017-03-09,Luleå,Rögle,4,-,1,Reg,"2-0, 2-0, 0-1",Coop Norrbotten Arena,5045
2017-03-09,Skellefteå,Djurgården,1,-,2,OT,"0-1, 0-0, 1-0, 0-1",Skellefteå Kraft Arena,4391
2017-03-09,Leksand,Brynäs,1,-,2,Reg,"0-2, 1-0, 0-0",Tegera Arena,5578
2017-03-09,Linköping,Frölunda,2,-,4,Reg,"1-0, 0-1, 1-3",Saab Arena,8001
2017-03-07,Skellefteå,Frölunda,2,-,1,Reg,"1-0, 0-0, 1-1",Skellefteå Kraft Arena,4586
2017-03-07,Leksand,Djurgården,0,-,5,Reg,"0-3, 0-1, 0-1",Tegera Arena,4408
2017-03-07,Brynäs,Karlskrona,5,-,2,Reg,"3-1, 1-0, 1-1",Gavlerinken Arena,4143
2017-03-07,Rögle,Örebro,5,-,1,Reg,"3-0, 0-0, 2-1",Lindab Arena,3399
2017-03-07,Växjö,Linköping,2,-,3,Reg,"0-0, 2-1, 0-2",Vida Arena,4354
2017-03-07,HV71,Luleå,6,-,0,Reg,"0-0, 2-0, 4-0",Kinnarps Arena,5917
2017-03-07,Malmö,Färjestad,2,-,5,Reg,"0-1, 2-1, 0-3",Malmö Arena,5940
2017-03-05,Linköping,Brynäs,3,-,0,Reg,"0-0, 1-0, 2-0",Saab Arena,8147
2017-03-04,Örebro,Växjö,2,-,3,OT,"1-0, 1-0, 0-2, 0-1",Behrn Arena,5500
2017-03-04,Djurgården,Malmö,4,-,0,Reg,"1-0, 1-0, 2-0",Hovet,7371
2017-03-04,Luleå,Leksand,5,-,2,Reg,"0-0, 2-0, 3-2",Coop Norrbotten Arena,4939
2017-03-04,Färjestad,HV71,1,-,0,Reg,"0-0, 1-0, 0-0",Löfbergs Arena,8087
2017-03-04,Karlskrona,Skellefteå,6,-,1,Reg,"3-0, 1-0, 2-1",ABB Arena Karlskrona,3852
2017-03-04,Frölunda,Rögle,3,-,1,Reg,"2-0, 1-1, 0-0",Scandinavium,10560
2017-03-03,Växjö,Örebro,7,-,4,Reg,"1-1, 3-1, 3-2",Vida Arena,5013
2017-03-03,Malmö,Djurgården,2,-,3,OT,"0-0, 0-1, 2-1, 0-1",Malmö Arena,6239
2017-03-02,Brynäs,Frölunda,2,-,3,OT,"1-1, 1-1, 0-0, 0-1",Gavlerinken Arena,5232
2017-03-02,Rögle,Leksand,4,-,1,Reg,"1-0, 1-1, 2-0",Lindab Arena,4622
2017-03-02,Färjestad,Luleå,5,-,0,Reg,"1-0, 2-0, 2-0",Löfbergs Arena,6908
2017-03-02,Karlskrona,HV71,2,-,5,Reg,"0-2, 1-0, 1-3",ABB Arena Karlskrona,3438
2017-03-02,Skellefteå,Linköping,3,-,1,Reg,"0-0, 1-0, 2-1",Skellefteå Kraft Arena,4241
2017-03-01,Örebro,Malmö,2,-,1,Reg,"0-0, 1-1, 1-0",Behrn Arena,5062
2017-03-01,Djurgården,Växjö,2,-,1,SO,"1-1, 0-0, 0-0, 0-0, 1-0",Hovet,6233
2017-02-28,Luleå,Rögle,3,-,0,Reg,"0-0, 1-0, 2-0",Coop Norrbotten Arena,4338
2017-02-28,Skellefteå,Färjestad,0,-,3,Reg,"0-0, 0-2, 0-1",Skellefteå Kraft Arena,5111
2017-02-28,Leksand,Karlskrona,1,-,4,Reg,"0-2, 1-2, 0-0",Tegera Arena,5263
2017-02-28,HV71,Brynäs,3,-,0,Reg,"1-0, 1-0, 1-0",Kinnarps Arena,6511
2017-02-28,Frölunda,Linköping,3,-,4,SO,"0-1, 0-2, 3-0, 0-0, 0-1",Scandinavium,8622
2017-02-25,Leksand,Frölunda,4,-,5,OT,"1-1, 0-2, 3-1, 0-1",Tegera Arena,6769
2017-02-25,Växjö,Brynäs,1,-,4,Reg,"0-1, 0-1, 1-2",Vida Arena,5652
2017-02-25,Djurgården,Örebro,2,-,0,Reg,"0-0, 1-0, 1-0",Hovet,6589
2017-02-25,Malmö,Rögle,4,-,0,Reg,"0-0, 2-0, 2-0",Malmö Arena,9303
2017-02-25,Färjestad,Linköping,1,-,5,Reg,"0-1, 0-1, 1-3",Löfbergs Arena,7470
2017-02-25,Karlskrona,Luleå,3,-,1,Reg,"1-0, 1-1, 1-0",ABB Arena Karlskrona,3449
2017-02-24,HV71,Skellefteå,5,-,2,Reg,"1-1, 3-0, 1-1",Kinnarps Arena,6884
2017-02-24,Frölunda,Leksand,1,-,5,Reg,"0-1, 0-1, 1-3",Frölundaborgs Isstadion,5507
2017-02-23,Luleå,Djurgården,1,-,2,OT,"0-1, 0-0, 1-0, 0-1",Coop Norrbotten Arena,4868
