DATUM,HEMMA,BORTA,HS,-,VS,DEC,PERIOD,ARENA,ATT
2017-02-23,Brynäs,Rögle,4,-,1,Reg,"1-0, 2-1, 1-0",Gavlerinken Arena,4510
2017-02-23,Färjestad,Karlskrona,2,-,0,Reg,"1-0, 0-0, 1-0",Löfbergs Arena,5360
2017-02-23,Linköping,Örebro,5,-,1,Reg,"3-1, 1-0, 1-0",Saab Arena,5226
2017-02-23,Malmö,Växjö,4,-,3,SO,"2-0, 0-0, 1-3, 0-0, 1-0",Malmö Arena,6043
2017-02-22,Leksand,Skellefteå,1,-,3,Reg,"1-2, 0-0, 0-1",Tegera Arena,4309
2017-02-22,HV71,Frölunda,2,-,1,OT,"0-0, 0-0, 1-1, 1-0",Kinnarps Arena,6818
2017-02-21,Örebro,Brynäs,3,-,6,Reg,"0-3, 2-2, 1-1",Behrn Arena,5309
2017-02-21,Djurgården,Färjestad,0,-,2,Reg,"0-0, 0-2, 0-0",Hovet,6576
2017-02-21,Rögle,Linköping,3,-,2,SO,"2-0, 0-1, 0-1, 0-0, 1-0",Lindab Arena,3351
2017-02-21,Växjö,Luleå,3,-,2,OT,"0-0, 0-2, 2-0, 1-0",Vida Arena,4748
2017-02-21,Karlskrona,Malmö,1,-,3,Reg,"1-1, 0-1, 0-1",ABB Arena Karlskrona,3683
2017-02-18,Örebro,HV71,0,-,3,Reg,"0-0, 0-0, 0-3",Behrn Arena,5500
2017-02-18,Rögle,Färjestad,2,-,1,Reg,"1-0, 1-1, 0-0",Lindab Arena,3811
2017-02-18,Linköping,Karlskrona,3,-,2,Reg,"0-0, 1-1, 2-1",Saab Arena,6089
2017-02-18,Leksand,Växjö,0,-,6,Reg,"0-3, 0-1, 0-2",Tegera Arena,5175
2017-02-18,Luleå,Frölunda,4,-,2,Reg,"0-0, 3-2, 1-0",Coop Norrbotten Arena,5540
2017-02-18,Skellefteå,Djurgården,3,-,2,Reg,"0-0, 1-1, 2-1",Skellefteå Kraft Arena,5380
2017-02-18,Malmö,Brynäs,2,-,3,Reg,"0-0, 2-3, 0-0",Malmö Arena,6905
2017-02-17,Färjestad,Rögle,4,-,5,Reg,"1-0, 1-2, 2-3",Löfbergs Arena,6164
2017-02-17,Karlskrona,Linköping,3,-,1,Reg,"1-0, 0-0, 2-1",ABB Arena Karlskrona,3349
2017-02-16,Luleå,Örebro,2,-,1,Reg,"0-1, 2-0, 0-0",Coop Norrbotten Arena,4473
2017-02-16,Skellefteå,Växjö,4,-,5,OT,"1-1, 1-2, 2-1, 0-1",Skellefteå Kraft Arena,4342
2017-02-16,Brynäs,Leksand,4,-,0,Reg,"3-0, 1-0, 0-0",Gavlerinken Arena,7909
2017-02-16,HV71,Malmö,3,-,6,Reg,"2-1, 0-2, 1-3",Kinnarps Arena,6179
2017-02-16,Frölunda,Djurgården,2,-,1,OT,"1-1, 0-0, 0-0, 1-0",Scandinavium,9340
2017-02-15,Rögle,Karlskrona,4,-,1,Reg,"0-0, 1-1, 3-0",Lindab Arena,3224
2017-02-14,Leksand,HV71,2,-,1,Reg,"1-0, 1-0, 0-1",Tegera Arena,4301
2017-02-14,Örebro,Skellefteå,1,-,2,OT,"1-0, 0-1, 0-0, 0-1",Behrn Arena,5092
2017-02-14,Djurgården,Brynäs,5,-,6,OT,"2-1, 2-3, 1-1, 0-1",Hovet,6013
2017-02-14,Linköping,Luleå,2,-,0,Reg,"0-0, 2-0, 0-0",Saab Arena,5049
2017-02-14,Malmö,Frölunda,2,-,3,Reg,"0-0, 2-1, 0-2",Malmö Arena,6218
2017-02-05,Frölunda,Färjestad,2,-,3,Reg,"0-0, 1-0, 1-3",Scandinavium,10651
2017-02-04,Brynäs,Luleå,6,-,2,Reg,"2-1, 2-0, 2-1",Gavlerinken Arena,5623
2017-02-04,Karlskrona,Växjö,0,-,4,Reg,"0-2, 0-0, 0-2",ABB Arena Karlskrona,4167
2017-02-04,Malmö,Skellefteå,1,-,4,Reg,"1-2, 0-1, 0-1",Malmö Arena,6374
2017-02-04,Leksand,Örebro,1,-,2,Reg,"0-0, 1-2, 0-0",Tegera Arena,7650
2017-02-04,Djurgården,Rögle,1,-,2,OT,"0-1, 1-0, 0-0, 0-1",Hovet,7539
2017-02-04,HV71,Linköping,2,-,3,SO,"0-0, 1-0, 1-2, 0-0, 0-1",Kinnarps Arena,6905
2017-02-03,Skellefteå,Malmö,0,-,4,Reg,"0-1, 0-1, 0-2",Skellefteå Kraft Arena,4768
2017-02-02,Växjö,Frölunda,3,-,2,SO,"1-1, 0-1, 1-0, 0-0, 1-0",Vida Arena,5321
2017-02-02,Färjestad,Leksand,5,-,2,Reg,"1-1, 2-0, 2-1",Löfbergs Arena,6411
2017-02-02,Linköping,Djurgården,4,-,1,Reg,"1-0, 2-1, 1-0",Saab Arena,5503
2017-02-02,HV71,Rögle,7,-,0,Reg,"3-0, 2-0, 2-0",Kinnarps Arena,5797
2017-02-02,Karlskrona,Örebro,2,-,3,OT,"0-1, 0-1, 2-0, 0-1",ABB Arena Karlskrona,3378
2017-02-02,Luleå,Brynäs,4,-,5,SO,"0-1, 3-0, 1-3, 0-0, 0-1",Coop Norrbotten Arena,4417
2017-01-31,Leksand,Linköping,2,-,5,Reg,"1-2, 1-1, 0-2",Tegera Arena,4523
2017-01-31,Örebro,Färjestad,0,-,1,Reg,"0-0, 0-0, 0-1",Behrn Arena,5500
2017-01-31,Djurgården,HV71,1,-,2,Reg,"0-0, 0-2, 1-0",Hovet,5522
2017-01-31,Rögle,Växjö,3,-,4,Reg,"3-1, 0-1, 0-2",Lindab Arena,3149
2017-01-31,Malmö,Luleå,5,-,1,Reg,"0-1, 2-0, 3-0",Malmö Arena,5763
2017-01-31,Brynäs,Skellefteå,2,-,6,Reg,"1-1, 1-2, 0-3",Gavlerinken Arena,4196
2017-01-28,Luleå,Växjö,4,-,3,SO,"1-1, 2-0, 0-2, 0-0, 1-0",Coop Norrbotten Arena,4631
2017-01-28,Leksand,HV71,1,-,2,Reg,"0-0, 1-1, 0-1",Tegera Arena,6884
2017-01-28,Brynäs,Malmö,2,-,4,Reg,"0-2, 0-0, 2-2",Gavlerinken Arena,5336
2017-01-28,Rögle,Frölunda,3,-,4,Reg,"0-1, 2-1, 1-2",Lindab Arena,3803
2017-01-28,Örebro,Djurgården,3,-,2,OT,"0-1, 0-1, 2-0, 1-0",Behrn Arena,5500
2017-01-28,Färjestad,Karlskrona,4,-,3,Reg,"2-3, 1-0, 1-0",Löfbergs Arena,7550
2017-01-27,HV71,Leksand,3,-,1,Reg,"2-1, 0-0, 1-0",Kinnarps Arena,7000
2017-01-26,Örebro,Luleå,2,-,1,Reg,"1-0, 1-0, 0-1",Behrn Arena,5108
2017-01-26,Växjö,Rögle,4,-,2,Reg,"0-1, 2-0, 2-1",Vida Arena,4257
2017-01-26,Djurgården,Färjestad,1,-,3,Reg,"0-0, 1-1, 0-2",Hovet,6664
2017-01-26,Karlskrona,Malmö,0,-,2,Reg,"0-1, 0-1, 0-0",ABB Arena Karlskrona,3803
2017-01-26,Frölunda,Brynäs,2,-,4,Reg,"1-0, 1-1, 0-3",Scandinavium,9443
2017-01-26,Linköping,Skellefteå,3,-,0,Reg,"1-0, 1-0, 1-0",Saab Arena,5069
2017-01-24,Rögle,Djurgården,1,-,3,Reg,"0-0, 0-2, 1-1",Lindab Arena,3309
2017-01-24,Skellefteå,HV71,3,-,2,Reg,"0-2, 1-0, 2-0",Skellefteå Kraft Arena,4423
2017-01-24,Frölunda,Karlskrona,4,-,3,Reg,"0-2, 1-0, 3-1",Scandinavium,6638
2017-01-21,Växjö,Karlskrona,4,-,0,Reg,"0-0, 3-0, 1-0",Vida Arena,5750
2017-01-21,HV71,Örebro,5,-,1,Reg,"0-0, 3-1, 2-0",Kinnarps Arena,6434
2017-01-21,Luleå,Färjestad,5,-,4,OT,"1-1, 2-1, 1-2, 1-0",Coop Norrbotten Arena,5721
2017-01-21,Skellefteå,Brynäs,3,-,0,Reg,"1-0, 1-0, 1-0",Skellefteå Kraft Arena,5511
2017-01-21,Djurgården,Leksand,4,-,3,Reg,"2-0, 1-2, 1-1",Hovet,8094
2017-01-21,Linköping,Rögle,2,-,1,Reg,"1-1, 1-0, 0-0",Saab Arena,6792
2017-01-20,Karlskrona,Växjö,1,-,4,Reg,"1-0, 0-3, 0-1",ABB Arena Karlskrona,4118
2017-01-19,Leksand,Linköping,5,-,1,Reg,"1-0, 2-1, 2-0",Tegera Arena,4460
2017-01-19,Brynäs,Örebro,3,-,4,OT,"2-0, 1-2, 0-1, 0-1",Gavlerinken Arena,3602
2017-01-19,Djurgården,HV71,2,-,3,SO,"0-1, 0-1, 2-0, 0-0, 0-1",Hovet,6505
2017-01-19,Rögle,Malmö,1,-,2,OT,"0-1, 1-0, 0-0, 0-1",Lindab Arena,5024
2017-01-19,Frölunda,Skellefteå,2,-,3,Reg,"0-1, 1-1, 1-1",Scandinavium,9573
2017-01-19,Färjestad,Luleå,3,-,2,OT,"1-1, 1-1, 0-0, 1-0",Löfbergs Arena,6874
2017-01-14,Örebro,Linköping,0,-,1,Reg,"0-1, 0-0, 0-0",Behrn Arena,5212
2017-01-14,Växjö,Leksand,4,-,1,Reg,"1-1, 1-0, 2-0",Vida Arena,5069
2017-01-14,HV71,Rögle,5,-,3,Reg,"0-1, 5-1, 0-1",Kinnarps Arena,6586
2017-01-14,Skellefteå,Karlskrona,3,-,2,Reg,"2-1, 0-1, 1-0",Skellefteå Kraft Arena,4273
2017-01-14,Brynäs,Djurgården,0,-,3,Reg,"0-0, 0-2, 0-1",Gavlerinken Arena,7604
2017-01-14,Malmö,Luleå,1,-,2,OT,"1-0, 0-1, 0-0, 0-1",Malmö Arena,10612
2017-01-13,Rögle,HV71,1,-,3,Reg,"0-1, 1-1, 0-1",Lindab Arena,3680
2017-01-12,Luleå,Skellefteå,3,-,4,SO,"0-0, 2-1, 1-2, 0-0, 0-1",Coop Norrbotten Arena,5668
2017-01-12,Örebro,Leksand,4,-,3,SO,"0-1, 3-2, 0-0, 0-0, 1-0",Behrn Arena,5500
2017-01-12,Växjö,Frölunda,4,-,1,Reg,"2-1, 1-0, 1-0",Vida Arena,4624
2017-01-12,Linköping,Karlskrona,4,-,3,SO,"2-0, 1-2, 0-1, 0-0, 1-0",Saab Arena,4593
2017-01-12,Malmö,Färjestad,2,-,3,Reg,"2-1, 0-0, 0-2",Malmö Arena,6120
2017-01-12,Djurgården,Brynäs,4,-,3,SO,"2-1, 1-0, 0-2, 0-0, 1-0",Hovet,6693
2017-01-07,Leksand,Malmö,4,-,3,Reg,"1-1, 2-0, 1-2",Tegera Arena,6131
2017-01-07,Frölunda,Örebro,2,-,1,OT,"0-0, 1-0, 0-1, 1-0",Scandinavium,10520
2017-01-07,Brynäs,Växjö,1,-,4,Reg,"0-1, 1-1, 0-2",Gavlerinken Arena,5123
2017-01-07,Rögle,Djurgården,1,-,3,Reg,"1-2, 0-1, 0-0",Lindab Arena,4145
2017-01-07,Färjestad,Skellefteå,1,-,2,Reg,"1-0, 0-0, 0-2",Löfbergs Arena,6195
2017-01-07,Linköping,Luleå,5,-,2,Reg,"2-1, 2-0, 1-1",Saab Arena,7232
2017-01-07,Karlskrona,HV71,2,-,3,Reg,"0-1, 1-2, 1-0",ABB Arena Karlskrona,5004
2017-01-06,Örebro,Frölunda,1,-,3,Reg,"1-0, 0-2, 0-1",Behrn Arena,5500
2017-01-06,Malmö,Leksand,3,-,1,Reg,"2-0, 1-1, 0-0",Malmö Arena,8028
2017-01-05,Luleå,Karlskrona,3,-,2,SO,"0-1, 1-1, 1-0, 0-0, 1-0",Coop Norrbotten Arena,4891
2017-01-05,Skellefteå,Rögle,3,-,1,Reg,"1-0, 0-1, 2-0",Skellefteå Kraft Arena,4438
2017-01-05,Brynäs,Färjestad,1,-,0,Reg,"1-0, 0-0, 0-0",Gavlerinken Arena,5011
2017-01-05,Djurgården,Linköping,0,-,4,Reg,"0-0, 0-0, 0-4",Hovet,8094
2017-01-05,HV71,Växjö,1,-,2,OT,"0-0, 1-0, 0-1, 0-1",Kinnarps Arena,6837
2017-01-03,Linköping,Skellefteå,5,-,2,Reg,"2-0, 1-1, 2-1",Saab Arena,4740
2017-01-03,Frölunda,Färjestad,5,-,0,Reg,"3-0, 1-0, 1-0",Scandinavium,10817
2016-12-30,Luleå,Brynäs,0,-,4,Reg,"0-3, 0-0, 0-1",Coop Norrbotten Arena,5783
2016-12-30,Leksand,Färjestad,2,-,1,Reg,"0-0, 0-0, 2-1",Tegera Arena,7650
2016-12-30,Djurgården,Frölunda,3,-,2,Reg,"1-1, 2-0, 0-1",Ericsson Globe,13189
2016-12-30,Växjö,Skellefteå,5,-,2,Reg,"2-0, 3-1, 0-1",Vida Arena,5435
2016-12-30,Linköping,HV71,0,-,1,OT,"0-0, 0-0, 0-0, 0-1",Saab Arena,7946
2016-12-30,Karlskrona,Rögle,3,-,2,OT,"1-0, 0-1, 1-1, 1-0",ABB Arena Karlskrona,4182
2016-12-30,Malmö,Örebro,6,-,0,Reg,"2-0, 3-0, 1-0",Malmö Arena,6092
2016-12-28,Skellefteå,Leksand,4,-,3,OT,"2-1, 0-1, 1-1, 1-0",Skellefteå Kraft Arena,5622
2016-12-28,Örebro,Växjö,2,-,3,Reg,"1-2, 0-0, 1-1",Behrn Arena,5136
2016-12-28,Rögle,Brynäs,1,-,3,Reg,"1-1, 0-0, 0-2",Lindab Arena,5051
2016-12-28,Färjestad,Linköping,3,-,0,Reg,"0-0, 1-0, 2-0",Löfbergs Arena,6128
2016-12-28,HV71,Malmö,5,-,3,Reg,"3-2, 1-1, 1-0",Kinnarps Arena,6925
2016-12-28,Karlskrona,Djurgården,3,-,1,Reg,"0-0, 2-1, 1-0",ABB Arena Karlskrona,4182
2016-12-28,Frölunda,Luleå,3,-,1,Reg,"0-0, 2-0, 1-1",Scandinavium,12044
2016-12-26,Örebro,Skellefteå,3,-,2,SO,"0-1, 2-1, 0-0, 0-0, 1-0",Behrn Arena,5145
2016-12-26,Brynäs,HV71,2,-,1,OT,"1-0, 0-0, 0-1, 1-0",Gavlerinken Arena,6316
2016-12-26,Leksand,Luleå,0,-,3,Reg,"0-0, 0-3, 0-0",Tegera Arena,7650
2016-12-26,Djurgården,Växjö,2,-,3,SO,"0-1, 1-1, 1-0, 0-0, 0-1",Ericsson Globe,10078
2016-12-26,Färjestad,Rögle,3,-,4,SO,"1-0, 1-3, 1-0, 0-0, 0-1",Löfbergs Arena,7280
2016-12-26,Malmö,Linköping,1,-,3,Reg,"0-1, 1-1, 0-1",Malmö Arena,6526
2016-12-26,Frölunda,Karlskrona,2,-,1,Reg,"0-1, 1-0, 1-0",Scandinavium,8714
2016-12-21,Skellefteå,Malmö,3,-,0,Reg,"1-0, 0-0, 2-0",Skellefteå Kraft Arena,4578
2016-12-20,Brynäs,Karlskrona,3,-,5,Reg,"2-0, 0-1, 1-4",Gavlerinken Arena,4284
2016-12-20,Färjestad,Örebro,6,-,4,Reg,"2-0, 2-2, 2-2",Löfbergs Arena,5037
2016-12-20,Linköping,Växjö,1,-,4,Reg,"0-2, 1-0, 0-2",Saab Arena,4338
2016-12-20,Frölunda,HV71,2,-,1,Reg,"2-0, 0-0, 0-1",Scandinavium,9026
2016-12-11,Malmö,Skellefteå,0,-,3,Reg,"0-2, 0-1, 0-0",Malmö Arena,5611
2016-12-10,Örebro,Rögle,2,-,3,Reg,"0-1, 0-2, 2-0",Behrn Arena,5062
2016-12-10,Brynäs,Färjestad,6,-,2,Reg,"2-0, 2-1, 2-1",Gavlerinken Arena,6712
2016-12-10,Djurgården,Leksand,3,-,1,Reg,"1-1, 1-0, 1-0",Hovet,8100
2016-12-10,HV71,Linköping,2,-,3,Reg,"2-0, 0-2, 0-1",Kinnarps Arena,7000
2016-12-10,Karlskrona,Luleå,0,-,4,Reg,"0-3, 0-0, 0-1",ABB Arena Karlskrona,4006
2016-12-10,Frölunda,Växjö,8,-,5,Reg,"1-2, 5-2, 2-1",Frölundaborgs Isstadion,4357
2016-12-09,Rögle,Örebro,5,-,0,Reg,"2-0, 0-0, 3-0",Lindab Arena,3251
2016-12-09,Färjestad,Brynäs,3,-,2,OT,"1-2, 1-0, 0-0, 1-0",Löfbergs Arena,5724
2016-12-08,Skellefteå,Luleå,1,-,3,Reg,"1-0, 0-1, 0-2",Skellefteå Kraft Arena,5801
2016-12-08,Leksand,Frölunda,4,-,0,Reg,"1-0, 2-0, 1-0",Tegera Arena,4851
2016-12-08,Växjö,Djurgården,4,-,1,Reg,"1-1, 2-0, 1-0",Vida Arena,4056
2016-12-08,Karlskrona,Linköping,3,-,1,Reg,"2-0, 0-1, 1-0",ABB Arena Karlskrona,3255
2016-12-08,Malmö,HV71,4,-,0,Reg,"1-0, 2-0, 1-0",Malmö Arena,6161
2016-12-06,Rögle,Leksand,2,-,3,Reg,"1-2, 0-1, 1-0",Lindab Arena,3906
2016-12-05,Malmö,Linköping,2,-,3,Reg,"0-0, 1-1, 1-2",Malmö Arena,5325
2016-12-04,Leksand,Rögle,3,-,2,Reg,"0-1, 1-0, 2-1",Tegera Arena,5003
2016-12-03,Luleå,Frölunda,0,-,1,Reg,"0-1, 0-0, 0-0",Coop Norrbotten Arena,4847
2016-12-03,Örebro,HV71,0,-,3,Reg,"0-1, 0-0, 0-2",Behrn Arena,5267
2016-12-03,Skellefteå,Karlskrona,2,-,0,Reg,"1-0, 0-0, 1-0",Skellefteå Kraft Arena,4539
2016-12-03,Brynäs,Växjö,2,-,0,Reg,"0-0, 1-0, 1-0",Gavlerinken Arena,6533
2016-12-03,Färjestad,Djurgården,2,-,1,OT,"1-1, 0-0, 0-0, 1-0",Löfbergs Arena,6070
2016-12-02,Frölunda,Luleå,4,-,0,Reg,"1-0, 0-0, 3-0",Scandinavium,8971
2016-12-01,Örebro,Leksand,4,-,3,Reg,"1-1, 1-1, 2-1",Behrn Arena,5500
2016-12-01,Brynäs,Skellefteå,2,-,3,Reg,"1-1, 1-1, 0-1",Gavlerinken Arena,4910
2016-12-01,Växjö,Rögle,2,-,0,Reg,"0-0, 1-0, 1-0",Vida Arena,4764
2016-12-01,HV71,Djurgården,2,-,1,SO,"1-0, 0-1, 0-0, 0-0, 1-0",Kinnarps Arena,5842
2016-12-01,Karlskrona,Färjestad,4,-,1,Reg,"1-0, 1-1, 2-0",ABB Arena Karlskrona,3383
2016-12-01,Linköping,Malmö,2,-,0,Reg,"0-0, 1-0, 1-0",Saab Arena,4586
2016-11-29,Malmö,HV71,4,-,3,Reg,"1-1, 1-0, 2-2",Malmö Arena,6503
2016-11-29,Luleå,Djurgården,2,-,1,SO,"0-1, 0-0, 1-0, 0-0, 1-0",Coop Norrbotten Arena,4300
2016-11-29,Växjö,Färjestad,2,-,3,SO,"2-0, 0-1, 0-1, 0-0, 0-1",Vida Arena,4408
2016-11-27,Djurgården,Karlskrona,2,-,1,Reg,"0-1, 0-0, 2-0",Hovet,5978
2016-11-27,Leksand,Malmö,1,-,0,SO,"0-0, 0-0, 0-0, 0-0, 1-0",Tegera Arena,5226
2016-11-26,HV71,Luleå,2,-,1,SO,"0-0, 0-1, 1-0, 0-0, 1-0",Kinnarps Arena,6319
2016-11-26,Skellefteå,Örebro,5,-,4,Reg,"1-1, 2-2, 2-1",Skellefteå Kraft Arena,4586
2016-11-26,Rögle,Brynäs,2,-,4,Reg,"0-0, 2-1, 0-3",Lindab Arena,3842
2016-11-26,Färjestad,Växjö,1,-,3,Reg,"0-1, 0-1, 1-1",Löfbergs Arena,5562
2016-11-26,Linköping,Frölunda,3,-,0,Reg,"1-0, 1-0, 1-0",Saab Arena,7070
2016-11-25,Luleå,HV71,2,-,3,Reg,"1-3, 1-0, 0-0",Coop Norrbotten Arena,4595
2016-11-25,Karlskrona,Djurgården,3,-,7,Reg,"1-3, 1-1, 1-3",ABB Arena Karlskrona,3899
2016-11-24,Skellefteå,Leksand,4,-,1,Reg,"2-0, 1-1, 1-0",Skellefteå Kraft Arena,4085
2016-11-24,Örebro,Färjestad,3,-,1,Reg,"1-0, 0-0, 2-1",Behrn Arena,5500
2016-11-24,Rögle,Frölunda,2,-,4,Reg,"0-1, 1-1, 1-2",Lindab Arena,3541
2016-11-24,Växjö,Linköping,4,-,1,Reg,"1-1, 1-0, 2-0",Vida Arena,4230
2016-11-24,Malmö,Brynäs,2,-,1,Reg,"0-0, 0-1, 2-0",Malmö Arena,6170
2016-11-23,HV71,Karlskrona,2,-,0,Reg,"0-0, 1-0, 1-0",Kinnarps Arena,6572
2016-11-22,Leksand,Växjö,3,-,1,Reg,"0-0, 1-1, 2-0",Tegera Arena,4051
2016-11-22,Brynäs,Örebro,4,-,3,OT,"0-0, 2-2, 1-1, 1-0",Gavlerinken Arena,4522
2016-11-22,Färjestad,Skellefteå,5,-,3,Reg,"3-0, 1-0, 1-3",Löfbergs Arena,4546
2016-11-22,Linköping,Rögle,5,-,2,Reg,"2-2, 0-0, 3-0",Saab Arena,4698
2016-11-22,Frölunda,Malmö,2,-,1,SO,"0-0, 0-0, 1-1, 0-0, 1-0",Scandinavium,9828
2016-11-22,Djurgården,Luleå,3,-,2,SO,"1-1, 1-1, 0-0, 0-0, 1-0",Hovet,6240
2016-11-19,Luleå,Örebro,2,-,0,Reg,"0-0, 1-0, 1-0",Coop Norrbotten Arena,4805
2016-11-19,Växjö,Skellefteå,4,-,0,Reg,"0-0, 0-0, 4-0",Vida Arena,4412
2016-11-19,Karlskrona,Leksand,0,-,2,Reg,"0-0, 0-1, 0-1",ABB Arena Karlskrona,4352
2016-11-19,Rögle,Färjestad,5,-,3,Reg,"3-0, 0-2, 2-1",Lindab Arena,3648
2016-11-19,Malmö,Djurgården,0,-,1,SO,"0-0, 0-0, 0-0, 0-0, 0-1",Malmö Arena,6786
2016-11-19,Frölunda,HV71,2,-,1,Reg,"0-0, 2-0, 0-1",Scandinavium,12044
2016-11-18,Leksand,Karlskrona,0,-,1,Reg,"0-0, 0-0, 0-1",Tegera Arena,5472
2016-11-18,Brynäs,Linköping,4,-,1,Reg,"3-0, 1-1, 0-0",Gavlerinken Arena,4576
2016-11-17,Skellefteå,HV71,1,-,0,OT,"0-0, 0-0, 0-0, 1-0",Skellefteå Kraft Arena,4227
2016-11-17,Örebro,Djurgården,3,-,0,Reg,"0-0, 1-0, 2-0",Behrn Arena,5225
2016-11-17,Rögle,Luleå,3,-,5,Reg,"0-0, 1-2, 2-3",Lindab Arena,3226
2016-11-17,Växjö,Malmö,2,-,1,Reg,"1-1, 1-0, 0-0",Vida Arena,4123
2016-11-17,Färjestad,Frölunda,3,-,4,OT,"1-0, 2-3, 0-0, 0-1",Löfbergs Arena,5842
